H4 eps_lo/eps_hi sweep -- 3D ct-2 breast (50-deg arc, 144x144x32 @ 1.5 mm)
c_hi=4.0, c_lo=8.0 fixed; itermax=500
========================================================================

config                       | iter   50 | iter  100 | iter  200 | iter  500
------------------------------------------------------------------------
single (ref)                 | 0.0617     | 0.0773     | 0.0995     | 0.1145    
two eps_lo/eps_hi=0.25       | 0.0523     | 0.0508     | 0.0639     | 0.0931    
two eps_lo/eps_hi=0.5        | 0.0523     | 0.0508     | 0.0640     | 0.0938    
two eps_lo/eps_hi=1.0        | 0.0522     | 0.0508     | 0.0643     | 0.0953    
two eps_lo/eps_hi=1.25       | 0.0521     | 0.0508     | 0.0645     | 0.0960    
two eps_lo/eps_hi=2.0        | 0.0519     | 0.0508     | 0.0649     | 0.0981    
two eps_lo/eps_hi=5.0        | 0.0512     | 0.0509     | 0.0673     | 0.1047    
two eps_lo/eps_hi=10.0       | 0.0502     | 0.0515     | 0.0715     | 0.1103    
two eps_lo/eps_hi=15.0       | 0.0493     | 0.0525     | 0.0746     | 0.1137    
two eps_lo/eps_hi=20.0       | 0.0487     | 0.0537     | 0.0769     | 0.1167    
two eps_lo/eps_hi=30.0       | 0.0481     | 0.0557     | 0.0802     | 0.1221    
